Time,Temperature (°C),Humidity (%),Precipitations (mm),Wind_speeds (km/h),Wind_direction (°),Cloud_cover_mid (%),Pressure (hPa),Soil_moisture_0_7cm (m³/m³)
2022-01-01T00:00,20.33,87.29,0.03,9.27,60.86,24.71,1019.44,0.44
2022-01-01T01:00,20.43,87.14,0.06,9.47,52.71,33.57,1018.64,0.44
2022-01-01T02:00,20.24,87.57,0.06,8.77,51.71,20.57,1017.74,0.44
2022-01-01T03:00,20.34,87.29,0.0,8.79,47.29,34.86,1017.09,0.44
2022-01-01T04:00,20.14,88.43,0.0,8.16,57.71,23.86,1017.03,0.44
2022-01-01T05:00,20.06,88.43,0.0,8.14,53.57,30.57,1017.33,0.44
2022-01-01T06:00,20.31,88.0,0.0,8.57,58.0,21.86,1017.64,0.44
2022-01-01T07:00,20.74,90.14,0.0,8.23,74.29,14.57,1018.06,0.44
2022-01-01T08:00,21.73,86.14,0.31,14.96,58.57,15.43,1018.83,0.44
2022-01-01T09:00,22.69,82.71,0.24,18.41,56.57,37.14,1019.26,0.44
2022-01-01T10:00,23.59,78.43,0.39,19.87,57.29,34.57,1018.8,0.44
2022-01-01T11:00,24.41,74.86,0.31,22.84,56.71,31.71,1018.41,0.44
2022-01-01T12:00,24.46,75.14,0.43,21.96,58.0,76.71,1017.49,0.45
2022-01-01T13:00,24.47,74.14,0.36,22.77,59.43,47.14,1016.73,0.45
2022-01-01T14:00,23.84,77.43,0.23,21.56,60.71,76.86,1015.99,0.45
2022-01-01T15:00,24.07,73.57,0.14,21.04,58.14,51.57,1015.96,0.44
2022-01-01T16:00,23.31,76.57,0.03,17.7,60.29,57.0,1016.3,0.44
2022-01-01T17:00,22.36,80.29,0.03,13.21,63.57,40.14,1016.76,0.44
2022-01-01T18:00,21.41,84.43,0.0,11.39,64.14,19.71,1017.26,0.44
2022-01-01T19:00,21.21,87.29,0.0,10.27,70.0,25.57,1017.79,0.44
2022-01-01T20:00,21.21,86.0,0.0,10.74,67.57,45.71,1018.24,0.44
2022-01-01T21:00,21.09,86.57,0.03,11.33,72.57,32.71,1018.26,0.44
2022-01-01T22:00,21.01,86.29,0.03,11.57,70.0,51.71,1017.96,0.44
2022-01-01T23:00,20.87,87.14,0.0,9.64,67.71,24.29,1018.04,0.44
2022-01-02T00:00,20.67,88.43,0.0,9.39,69.71,44.86,1018.16,0.44
2022-01-02T01:00,20.67,89.0,0.0,9.16,69.71,35.0,1017.43,0.44
2022-01-02T02:00,20.67,89.43,0.03,8.71,71.0,20.86,1016.67,0.44
2022-01-02T03:00,20.36,90.86,0.03,7.56,71.57,23.0,1016.34,0.44
2022-01-02T04:00,20.46,90.57,0.0,7.23,70.71,12.71,1016.23,0.44
2022-01-02T05:00,20.47,90.43,0.03,7.14,69.57,6.71,1016.43,0.44
2022-01-02T06:00,20.41,91.0,0.0,7.14,60.43,5.29,1016.8,0.44
2022-01-02T07:00,20.81,90.0,0.0,6.67,70.29,1.86,1017.43,0.44
2022-01-02T08:00,21.7,86.0,0.09,12.67,50.86,14.14,1018.73,0.44
