Time,Temperature (°C),Humidity (%),Precipitations (mm),Wind_speeds (km/h),Wind_direction (°),Cloud_cover_mid (%),Pressure (hPa),Soil_moisture_0_7cm (m³/m³)
2022-01-01T00:00,15.55,95.25,0.12,5.3,177.25,5.5,1023.02,0.5
2022-01-01T01:00,15.6,95.5,0.1,5.65,185.75,17.25,1022.48,0.5
2022-01-01T02:00,15.55,95.75,0.12,5.73,186.25,9.25,1021.62,0.5
2022-01-01T03:00,15.53,96.5,0.03,5.85,177.25,11.0,1020.67,0.5
2022-01-01T04:00,15.57,97.25,0.15,5.7,166.25,29.0,1020.4,0.5
2022-01-01T05:00,15.7,96.25,0.17,5.52,157.75,53.5,1020.5,0.5
2022-01-01T06:00,15.77,96.75,0.12,5.62,153.75,23.75,1020.75,0.5
2022-01-01T07:00,16.05,95.75,0.17,5.93,154.75,10.0,1021.35,0.5
2022-01-01T08:00,16.52,94.5,0.15,6.47,201.5,13.25,1022.22,0.5
2022-01-01T09:00,16.65,95.25,0.43,7.22,133.75,50.0,1022.8,0.5
2022-01-01T10:00,17.05,93.75,0.38,6.75,131.25,38.5,1022.52,0.5
2022-01-01T11:00,17.65,91.5,0.7,9.12,52.25,27.25,1022.25,0.51
2022-01-01T12:00,18.85,87.75,0.22,10.57,56.25,25.25,1021.12,0.5
2022-01-01T13:00,18.12,89.5,0.95,11.2,48.25,70.25,1020.17,0.51
2022-01-01T14:00,18.0,92.75,0.93,10.55,55.25,75.0,1019.5,0.51
2022-01-01T15:00,17.75,92.75,0.55,9.88,49.0,73.75,1019.3,0.51
2022-01-01T16:00,17.28,92.5,1.38,10.65,50.5,74.0,1019.52,0.51
2022-01-01T17:00,16.55,96.25,1.18,9.78,46.5,75.0,1019.98,0.51
2022-01-01T18:00,16.2,98.0,0.97,9.55,46.5,65.25,1020.52,0.51
2022-01-01T19:00,16.1,97.5,0.8,7.3,44.75,53.25,1021.12,0.51
2022-01-01T20:00,16.12,96.0,0.57,6.35,46.5,40.25,1021.67,0.51
2022-01-01T21:00,16.02,96.75,0.42,5.97,132.25,75.25,1021.8,0.51
2022-01-01T22:00,15.95,96.75,0.35,6.17,201.5,32.0,1021.7,0.51
2022-01-01T23:00,15.9,96.0,0.25,5.93,197.75,29.0,1021.65,0.51
2022-01-02T00:00,15.82,97.25,0.12,5.9,188.5,33.75,1021.4,0.51
2022-01-02T01:00,15.85,97.25,0.15,5.83,187.5,19.5,1020.72,0.51
2022-01-02T02:00,15.7,97.75,0.12,6.0,169.25,11.5,1020.15,0.51
2022-01-02T03:00,15.82,97.5,0.2,5.63,166.0,8.5,1019.55,0.51
2022-01-02T04:00,15.85,97.5,0.12,6.0,170.0,20.75,1019.4,0.51
2022-01-02T05:00,15.9,97.75,0.17,5.33,130.25,33.75,1019.67,0.51
2022-01-02T06:00,15.95,98.25,0.15,5.65,133.75,40.75,1019.98,0.51
2022-01-02T07:00,16.05,97.5,0.05,6.67,104.25,28.75,1020.4,0.51
2022-01-02T08:00,16.5,97.0,0.78,7.1,192.75,74.75,1021.75,0.51
2022-01-02T09:00,16.6,96.75,0.95,6.5,191.5,51.25,1022.25,0.51
2022-01-02T10:00,16.6,96.5,0.6,5.95,190.25,47.25,1021.95,0.51
2022-01-02T11:00,17.07,95.75,0.55,6.58,149.25,59.25,1021.27,0.51
2022-01-02T12:00,17.62,93.0,0.7,11.02,46.75,74.5,1020.08,0.51
2022-01-02T13:00,17.6,94.25,1.38,9.95,42.5,75.0,1019.05,0.51
2022-01-02T14:00,17.27,93.25,1.43,10.6,41.5,75.25,1018.48,0.51
2022-01-02T15:00,17.02,93.5,1.6,10.6,48.25,74.75,1018.25,0.51
2022-01-02T16:00,16.65,98.0,1.45,7.03,39.25,75.0,1018.47,0.51
2022-01-02T17:00,16.38,98.5,1.5,9.88,43.75,75.0,1018.82,0.5
2022-01-02T18:00,16.12,99.0,1.72,7.57,51.0,75.25,1019.38,0.51
2022-01-02T19:00,16.15,96.75,1.4,5.72,106.5,75.0,1019.95,0.51
2022-01-02T20:00,16.38,96.0,0.95,5.42,194.75,75.0,1020.65,0.51
2022-01-02T21:00,16.12,97.75,0.65,8.05,37.75,75.0,1020.95,0.52
2022-01-02T22:00,16.03,97.75,0.57,6.53,189.75,74.75,1020.73,0.52
2022-01-02T23:00,15.97,97.5,0.47,6.05,206.5,45.75,1020.6,0.52
2022-01-03T00:00,15.9,98.75,0.43,6.3,110.0,23.25,1020.17,0.51
2022-01-03T01:00,15.82,98.75,0.17,5.9,100.0,23.25,1019.67,0.51
2022-01-03T02:00,15.75,99.25,0.25,5.83,112.25,7.0,1019.05,0.51
2022-01-03T03:00,15.75,98.75,0.17,5.5,193.5,6.25,1018.5,0.51
2022-01-03T04:00,15.73,98.5,0.08,5.95,173.25,38.75,1018.38,0.51
2022-01-03T05:00,15.7,98.25,0.15,4.93,190.25,45.75,1018.48,0.51
2022-01-03T06:00,15.75,98.25,0.15,5.55,199.25,8.0,1018.62,0.51
2022-01-03T07:00,15.9,97.75,0.08,4.97,180.0,16.0,1019.17,0.5
2022-01-03T08:00,16.48,95.0,0.08,5.58,123.0,5.25,1019.9,0.5
2022-01-03T09:00,16.62,94.75,0.2,6.67,43.5,31.75,1020.45,0.5
2022-01-03T10:00,17.5,92.0,0.45,8.8,53.75,33.25,1020.1,0.5
2022-01-03T11:00,18.27,87.75,0.62,8.9,59.5,33.75,1019.47,0.51
2022-01-03T12:00,18.65,86.0,0.58,9.1,55.25,32.25,1018.35,0.51
2022-01-03T13:00,19.0,84.25,0.58,10.2,52.5,53.25,1017.28,0.51
2022-01-03T14:00,18.45,86.5,0.45,10.32,49.5,62.25,1016.6,0.51
2022-01-03T15:00,17.6,91.0,0.3,8.45,49.25,62.0,1016.73,0.5
2022-01-03T16:00,17.27,92.75,0.28,8.07,49.5,49.0,1017.07,0.5
2022-01-03T17:00,16.88,93.75,0.28,6.8,52.5,61.25,1017.5,0.5
2022-01-03T18:00,16.55,95.5,0.38,5.83,46.75,59.0,1018.45,0.51
2022-01-03T19:00,16.3,96.0,0.2,4.35,105.0,41.75,1019.1,0.51
2022-01-03T20:00,16.3,96.5,0.15,4.2,99.0,33.0,1019.72,0.51
2022-01-03T21:00,16.1,97.5,0.1,4.38,169.25,11.5,1020.08,0.5
2022-01-03T22:00,15.88,98.25,0.05,4.98,156.5,5.25,1020.02,0.5
2022-01-03T23:00,15.57,98.25,0.0,4.35,168.0,2.75,1019.88,0.5
2022-01-04T00:00,15.82,96.5,0.0,4.03,191.0,2.0,1019.42,0.5
2022-01-04T01:00,15.75,96.0,0.0,3.32,197.0,0.25,1018.88,0.5
2022-01-04T02:00,15.58,95.25,0.0,3.33,205.0,0.0,1018.17,0.5
2022-01-04T03:00,15.57,95.5,0.0,3.7,150.5,0.0,1017.77,0.5
2022-01-04T04:00,15.68,95.5,0.0,4.15,166.0,0.0,1017.65,0.5
2022-01-04T05:00,15.55,95.25,0.0,4.27,170.5,0.0,1018.0,0.49
2022-01-04T06:00,14.98,95.25,0.0,4.15,201.0,0.25,1018.02,0.49
2022-01-04T07:00,15.95,93.5,0.0,4.53,224.25,0.0,1018.38,0.49
2022-01-04T08:00,17.72,86.5,0.03,3.83,174.75,0.0,1019.12,0.49
2022-01-04T09:00,18.58,82.75,0.03,4.23,176.5,0.0,1019.57,0.49
2022-01-04T10:00,19.48,80.0,0.05,5.08,140.25,0.0,1019.1,0.49
2022-01-04T11:00,19.8,79.75,0.03,5.38,49.5,0.0,1018.6,0.49
2022-01-04T12:00,20.25,78.5,0.05,5.15,47.75,0.0,1017.8,0.49
2022-01-04T13:00,20.85,76.5,0.08,6.35,46.5,1.25,1016.6,0.49
2022-01-04T14:00,20.77,77.75,0.08,7.35,43.5,3.0,1015.92,0.49
2022-01-04T15:00,20.35,81.0,0.12,7.8,44.0,7.75,1015.7,0.49
